!SIL 1.0	SIL
<UNK> 1.0	SPN
haberlerin 1.0	h a b e r l e r i n
derlemesi 1.0	d e r l e m e s i
kısıtlamaların 1.0	k 1 s 1 t 5 a m a 5 a r 1 n
tutuluyor 1.0	t u t u 5 u j o
tutuluyor 1.0	t u t u 5 u j o r
bombalardan 1.0	b o m b a 5 a r d a n
patlarken 1.0	p a t 5 a r c e n
patlamadı 1.0	p a t 5 a m a d 1
kararda 1.0	k a r a r d a
güdüldü 1.0	gj y d y l d y
çağrılara 1.0	tS a G r 1 5 a r a
çağrılara 1.0	tS a: r 1 5 a r a
tıkamadı 1.0	t 1 k a m a d 1
olunmasını 1.0	o 5 u n m a s 1 n 1
kelt 1.0	k e 5 t
mezarlığında 1.0	m e z a r 5 1 G 1 n d a
mezarlığında 1.0	m e z a r 5 1: n d a
karikatür 1.0	k a r i c a t y r
danışmanlık 1.0	d a n 1 S m a n 5 1 k
danışmanlık 1.0	d a n 1 S m a n n 1 k
rolüne 1.0	r o l y n e
oturum 1.0	o t u r u m
zadar 1.0	z a d a r
limanı 1.0	l i m a n 1
hizmete 1.0	h i z m e t e
hacmi 1.0	h a dZ m i
avroya 1.0	a v r o j a
görüşmeyi 1.0	gj 2 r y S m e j i
konukların 1.0	k o n u k 5 a r 1 n
altısı 1.0	a 5 t 1 s 1
yabancılardan 1.0	j a b a n dZ 1 5 a r d a n
oluşuyor 1.0	o 5 u S u j o
oluşuyor 1.0	o 5 u S u j o r
ashdownun 1.0	e S d a v n 1 n
kararından 1.0	k a r a r 1 n d a n
hoşnut 1.0	h o S n u t
kosor 1.0	k o s o r
edenlerse 1.0	e d e n l e r s e
edenlerse 1.0	e d e n n e r s e
sancak 1.0	s a n dZ a k
başarının 1.0	b a S a r 1 n 1 n
sırrı 1.0	s 1 r r 1
klasik 1.0	c 1 l a s i c
müziğe 1.0	m y z i G e
müziğe 1.0	m y z i j e
yakınlaştırdınız 1.0	j a k 1 n 5 a S t 1 r d 1 n 1 z
yakınlaştırdınız 1.0	j a k 1 n n a S t 1 r d 1 n 1 z
göçü 1.0	gj 2 tS y
hırvatistanda 1.0	h 1 r v a t i s t a n d a
kalkınmayı 1.0	k a 5 k 1 n m a j 1
baltalıyor 1.0	b a 5 t a 5 1 j o
baltalıyor 1.0	b a 5 t a 5 1 j o r
yunan 1.0	j u n a n
rusyayı 1.0	r u s j a j 1
üçon 1.0	y tS o n
yendi 1.0	j e n d i
zihniyetteler 1.0	z i h n i j e t t e 5 e r
uygulanmayacak 1.0	u j gj u 5 a n m a j a dZ a k
kuruluş 1.0	k u r u 5 u S
özelleştirmeye 1.0	2 z e l l e S t i r m e j e
yorum 1.0	j o r u m
amerikada 1.0	a m e r i k a d a
kirin 1.0	c i r i n
soruşturma 1.0	s o r u S t u r m a
başlattıysa 1.0	b a S 5 a t t 1 j s a
yetkisini 1.0	j e t c i s i n i
lefkoşe 1.0	5 e f k o S e
öneriyi 1.0	2 n e r i j i
stojarovanın 1.0	s t o Z a r o v a n 1 n
önerisi 1.0	2 n e r i s i
cezaya 1.0	dZ e z a: j a
pahor 1.0	p a h o r
eleştirdi 1.0	e l e S t i r d i
oy 1.0	o j
kullanmayacak 1.0	k u 5 5 a n m a j a dZ a k
bilişsel 1.0	b i l i S s e l
uyumsuzluğun 1.0	u j u m s u z 5 u G u n
uyumsuzluğun 1.0	u j u m s u z 5 u: n
etmenler 1.0	e t m e n l e r
etmenler 1.0	e t m e n n e r
ilişkiyi 1.0	i l i S c i j i
nitelendiriyorsunuz 1.0	n i t e l e n d i r i j o r s u n u z
nitelendiriyorsunuz 1.0	n i t e l e n d i r i j o s u n u z
mekanlardan 1.0	m e c a n 5 a r d a n
mekanlardan 1.0	m e c a n n a r d a n
milletvekili 1.0	m i l l e t v e c i l i
karışıklığın 1.0	k a r 1 S 1 k 5 1 G 1 n
karışıklığın 1.0	k a r 1 S 1 k 5 1: n
özellik 1.0	2 z e l l i c
sokaktaysa 1.0	s o k a k t a j s a
vatandaş 1.0	v a t a n d a S
bedel 1.0	b e d e l
papadoniou 1.0	p a p a d o n i o u
koşul 1.0	k o S u 5
önermedi 1.0	2 n e r m e d i
bianca 1.0	b i a n k a
ingiltereden 1.0	i n gj i 5 t e r e d e n
belgrada 1.0	b e 5 gj r a d a
toplum 1.0	t o p 5 u m
hayati 1.0	h a j a: t i:
önem 1.0	2 n e m
taşıyor 1.0	t a S 1 j o
taşıyor 1.0	t a S 1 j o r
olayda 1.0	o 5 a j d a
ziyaretin 1.0	z i j a r e t i n
amacı 1.0	a m a dZ 1
amacı 1.0	a: m a: dZ 1
seçimlerin 1.0	s e tS i m l e r i n
turu 1.0	t u r u
sirki 1.0	s i r c i
andırıyor 1.0	a n d 1 r 1 j o
andırıyor 1.0	a n d 1 r 1 j o r
köşedeki 1.0	c 2 S e d e c i
güce 1.0	gj y dZ e
duyulmayacak 1.0	d u j u 5 m a j a dZ a k
unsur 1.0	u n s u r
morrisey 1.0	m o r r i s e j
şarkılarımın 1.0	S a r k 1 5 a r 1 m 1 n
suçlamalar 1.0	s u tS 5 a m a 5 a r
düşürüldü 1.0	d y S y r y l d y
türkiyede 1.0	t y r k i j e d e
ulusal 1.0	u 5 u s a 5
limaja 1.0	5 i m a Z a
hapsi 1.0	h a p s i
popov 1.0	p o p o v
haklıymışsın 1.0	h a k 5 1 j m 1 S s 1 n
müzisyenlerden 1.0	m y z i s j e n l e r d e n
müzisyenlerden 1.0	m y z i s j e n n e r d e n
denizliden 1.0	d e n i z l i d e n
ahenktardılar 1.0	a h e n k t a r d 1 5 a r
köşelerden 1.0	c 2 S e l e r d e n
kuyruklu 1.0	k u j r u k 5 u
tekmelerin 1.0	t e c m e l e r i n
dipçiklerin 1.0	d i p tS i c l e r i n
indiğini 1.0	i n d i G i n i
indiğini 1.0	i n d i: n i
aklımıza 1.0	a k 5 1 m 1 z a
getirmiyorduk 1.0	gj e t i r m i j o d u k
getirmiyorduk 1.0	gj e t i r m i j o r d u k
yolunun 1.0	j o 5 u n u n
meramın 1.0	m e r a m 1 n
meramın 1.0	m e r a: m 1 n
oturağa 1.0	o t u r a:
oturağa 1.0	o t u r a G a
sorunumuz 1.0	s o r u n u m u z
iskoç 1.0	i s k o tS
kumaşından 1.0	k u m a S 1 n d a n
renkte 1.0	r e n k t e
kasket 1.0	k a s c e t
akşamda 1.0	a k S a m d a
uğruyor 1.0	u G r u j o
uğruyor 1.0	u G r u j o r
uğruyor 1.0	u: r u j o
uğruyor 1.0	u: r u j o r
kimsesizdi 1.0	c i m s e s i z d i
bütçe 1.0	b y t tS e
cenazeyi 1.0	dZ e n a: z e j i
mayday 1.0	m a j d a j
soracakmış 1.0	s o r a dZ a k m 1 S
tesellidir 1.0	t e s e l l i d i r
yanardağ 1.0	j a n a r d a:
yanardağ 1.0	j a n a r d a G
çıktığımızdan 1.0	tS 1 k t 1 G 1 m 1 z d a n
çıktığımızdan 1.0	tS 1 k t 1: m 1 z d a n
görüşmedik 1.0	gj 2 r y S m e d i c
boyalı 1.0	b o j a 5 1
aktrislerin 1.0	a k t r i s l e r i n
elbiselerinin 1.0	e l b i s e l e r i n i n
boğulmaktaydı 1.0	b o G u 5 m a k t a j d 1
boğulmaktaydı 1.0	b o: u 5 m a k t a j d 1
gösterişsiz 1.0	gj 2 s t e r i S s i z
kibarlık 1.0	c i b a r 5 1 k
incelik 1.0	i n dZ e l i c
gülecektim 1.0	gj y l e dZ e c t i m
ayıramıyordu 1.0	a j 1 r a m 1 j o d u
ayıramıyordu 1.0	a j 1 r a m 1 j o r d u
ayıramıyordu 1.0	a j r a m 1 j o d u
ayıramıyordu 1.0	a j r a m 1 j o r d u
zamanlarımda 1.0	z a m a n 5 a r 1 m d a
zamanlarımda 1.0	z a m a n n a r 1 m d a
hissimle 1.0	h i s s i m 5 e
anamı 1.0	a n a m 1
yerleştiremedi 1.0	j e r l e S t i r e m e d i
şaşırıp 1.0	S a S 1 r 1 p
daimi 1.0	d a: i m i
daimi 1.0	d a: i m i:
yaşadığını 1.0	j a S a d 1 G 1 n 1
yaşadığını 1.0	j a S a d 1: n 1
içerdekiler 1.0	i tS e r d e k i 5 e r
hükme 1.0	h y c m e
üzeriydi 1.0	y z e r i j d i
benzemeye 1.0	b e n z e m e j e
mülkiyeli 1.0	m y l c i j e l i
açacaksın 1.0	a tS a dZ a k s 1 n
moda 1.0	m o d a
anla 1.0	a n 5 a
anla 1.0	a n n a
parlayarak 1.0	p a r 5 a j a r a k
kışa 1.0	k 1 S a
kaldırırlarmış 1.0	k a 5 d 1 r 1 r 5 a r m 1 S
geçirmiş 1.0	gj e tS i r m i S
adımına 1.0	a d 1 m 1 n a
öğrettin 1.0	2 G r e t t i n
öğrettin 1.0	2: r e t t i n
artistleri 1.0	a r t i s t l e r i
unutalım 1.0	u n u t a 5 1 m
pösteki 1.0	p 2 s t e c i
vermeyince 1.0	v e r m e j i n dZ e
mabut 1.0	m a b u t
yuttun 1.0	j u t t u n
bastırdığı 1.0	b a s t 1 r d 1:
bastırdığı 1.0	b a s t 1 r d 1 G 1
kayboldunuz 1.0	k a j b o 5 d u n u z
değişikliği 1.0	d e G i S i c l i G i
değişikliği 1.0	d e j i S i c l i:
değişikliği 1.0	d i: S i c l i:
yedirmeyiz 1.0	j e d i r m e j i z
akraba 1.0	a k r a: b a:
algılama 1.0	a 5 gj 1 5 a m a
yetişen 1.0	j e t i S e n
bakacaklar 1.0	b a k a dZ a k 5 a r
afat 1.0	a f a t
afat 1.0	a: f a t
ayırt 1.0	a j 1 r t
öğrenecekler 1.0	2 G r e n e dZ e c l e r
öğrenecekler 1.0	2: r e n e dZ e c l e r
dileyim 1.0	d i l e j i m
doğrulurken 1.0	d o G r u 5 u r c e n
doğrulurken 1.0	d o: r u 5 u r c e n
dayanamadım 1.0	d a j a n a m a d 1 m
danaları 1.0	d a n a 5 a r 1
boynuzundan 1.0	b o j n u z u n d a n
tutunca 1.0	t u t u n dZ a
savuruverirmiş 1.0	s a v u r u v e r i r m i S
planları 1.0	p i 5 a n 5 a r 1
planları 1.0	p i 5 a n n a r 1
puding 1.0	p u d i n gj
muzaffer 1.0	m u z a f f e r
dövmek 1.0	d 2 w m e c
paraları 1.0	p a r a 5 a r 1
kasketinin 1.0	k a s c e t i n i n
tozdan 1.0	t o z d a n
bembeyaz 1.0	b e m b e j a z
eğlemez 1.0	e G 5 e m e z
kelamı 1.0	c e l a: m 1
eylemez 1.0	e j l e m e z
doğrayan 1.0	d o G r a j a n
doğrayan 1.0	d o: r a j a n
kanser 1.0	k a n s e r
tutamadım 1.0	t u t a m a d 1 m
payıma 1.0	p a j 1 m a
nolmuş 1.0	n o 5 m u S
çıkmayınca 1.0	tS 1 k m a j 1 n dZ a
maaşı 1.0	m a a S 1
sıtmayı 1.0	s 1 t m a j 1
kızlardan 1.0	k 1 z 5 a r d a n
çağır 1.0	tS a 1 r
çağır 1.0	tS a G 1 r
çağır 1.0	tS a: r
şaştın 1.0	S a S t 1 n
turistlerin 1.0	t u r i s t l e r i n
kosovadan 1.0	k o s o v a d a n
ayına 1.0	a j 1 n a
pisari 1.0	p i s a r i
uyarıyı 1.0	u j a r 1 j 1
duymadı 1.0	d u j m a d 1
kadronun 1.0	k a d r o n u n
ortalaması 1.0	o r t a 5 a m a s 1
otuzun 1.0	o t u z u n
suikast 1.0	s u i c a s t
girişimi 1.0	gj i r i S i m i
niteledi 1.0	n i t e l e d i
guca 1.0	gj u dZ a
çekilmeli 1.0	tS e c i l m e l i
köklerimizin 1.0	c 2 c l e r i m i z i n
saklanırsak 1.0	s a k 5 a n 1 r s a k
önyargıyla 1.0	2 n j a r gj 1 j 5 a
savaşırız 1.0	s a v a S 1 r 1 z
büyülemedi 1.0	b y j y 5 e m e d i
zanlıların 1.0	z a n 5 1 5 a r 1 n
zanlıların 1.0	z a n n 1 5 a r 1 n
trabzonlu 1.0	t r a b z o n 5 u
seyirci 1.0	s e j i r dZ i
unutmamıştı 1.0	u n u t m a m 1 S t 1
kliniklerin 1.0	c 1 l i n i c l e r i n
ruhsatı 1.0	r u h s a t 1
teklifleri 1.0	t e c l i f l e r i
koşullarda 1.0	k o S u 5 5 a r d a
tamamlanması 1.0	t a m a m 5 a n m a s 1
sürede 1.0	s y r e d e
tersine 1.0	t e r s i n e
dondu 1.0	d o n d u
aşağısı 1.0	a S a 1 s 1
aşağısı 1.0	a S a G 1 s 1
aşağısı 1.0	a S a: s 1
kırıklığı 1.0	k 1 r 1 k 5 1:
kırıklığı 1.0	k 1 r 1 k 5 1 G 1
harcanan 1.0	h a r dZ a n a n
yatırım 1.0	j a t 1 r 1 m
ulaştı 1.0	u 5 a S t 1
ediniyoruz 1.0	e d i n i j o r u z
getirdiniz 1.0	gj e t i r d i n i z
öğleyin 1.0	2 G l e j i n
öğleyin 1.0	2: l e j i n
dinlenip 1.0	d i n l e n i p
dinlenip 1.0	d i n n e n i p
ekmekle 1.0	e c m e c l e
bulamıyordum 1.0	b u 5 a m 1 j o d u m
bulamıyordum 1.0	b u 5 a m 1 j o r d u m
inebilirsiniz 1.0	i n e b i l i r s i n i z
diyivereceğim 1.0	d i j i v e r e dZ e G i m
dumanlar 1.0	d u m a n 5 a r
dumanlar 1.0	d u m a n n a r
doğmak 1.0	d o G m a k
doğmak 1.0	d o: m a k
kıvrım 1.0	k 1 v r 1 m
çürümüş 1.0	tS y r y m y S
meyvenin 1.0	m e j v e n i n
tabakası 1.0	t a b a k a s 1
örtmekteydi 1.0	2 r t m e c t e j d i
kapısının 1.0	k a p 1 s 1 n 1 n
sağlamlığı 1.0	s a: 5 a m 5 1:
sağlamlığı 1.0	s a G 5 a m 5 1 G 1
yorganını 1.0	j o r gj a n 1 n 1
örterek 1.0	2 r t e r e c
hükmünü 1.0	h y c m y n y
veremeyecek 1.0	v e r e m e j e dZ e c
küçüktü 1.0	c y tS y c t y
dinlendim 1.0	d i n l e n d i m
dinlendim 1.0	d i n n e n d i m
götürürüm 1.0	gj 2 t y r y r y m
bağırmazsa 1.0	b a 1 r m a z s a
bağırmazsa 1.0	b a G 1 r m a z s a
bağırmazsa 1.0	b a: r m a z s a
lazımmış 1.0	l a z 1 m m 1 S
lazımmış 1.0	l a: z 1 m m 1 S
yapıverelim 1.0	j a p 1 v e r e l i m
olacakmışsın 1.0	o 5 a dZ a k m 1 S s 1 n
doğmuşsun 1.0	d o G m u S s u n
doğmuşsun 1.0	d o: m u S s u n
yerleştiler 1.0	j e r l e S t i l e r
talkını 1.0	t a 5 k 1 n 1
yutar 1.0	j u t a r
salkımı 1.0	s a 5 k 1 m 1
şeyle 1.0	S e j l e
ihtişam 1.0	i h t i S a m
büyüklüğe 1.0	b y j y c l y: e
büyüklüğe 1.0	b y j y c l y G e
hakikatlere 1.0	h a c i: k a t l e r e
yarıştıramayacağımızı 1.0	j a r 1 S t 1 r a m a j a dZ a G 1 m 1 z 1
kıvılcımlarını 1.0	k 1 v 1 5 dZ 1 m 5 a r 1 n 1
sıçratamayacak 1.0	s 1 tS r a t a m a j a dZ a k
fersizmiş 1.0	f e r s i z m i S
uyuduğunu 1.0	u j u d u G u n u
uyuduğunu 1.0	u j u d u: n u
zannettirecek 1.0	z a n n e t t i r e dZ e c
hareketsizdi 1.0	h a r e c e t s i z d i
hıdır 1.0	h 1 d 1 r
dosttur 1.0	d o s t t u r
müdüre 1.0	m y d y r e
başhekime 1.0	b a S h e c i m e
koridorları 1.0	k o r i d o r 5 a r 1
çınlatıyor 1.0	tS 1 n 5 a t 1 j o
çınlatıyor 1.0	tS 1 n 5 a t 1 j o r
çınlatıyor 1.0	tS 1 n n a t 1 j o
çınlatıyor 1.0	tS 1 n n a t 1 j o r
jandarmaların 1.0	Z a n d a r m a 5 a r 1 n
onaylıyorum 1.0	o n a j 5 1 j o r u m
denizde 1.0	d e n i z d e
sinirlendirici 1.0	s i n i r l e n d i r i dZ i
teferruat 1.0	t e f e r r u a t
tatar 1.0	t a t a r
iskemlesine 1.0	i s c e m l e s i n e
çökerken 1.0	tS 2 c e r c e n
ayaklar 1.0	a j a k 5 a r
maaşını 1.0	m a a S 1 n 1
düşünceliydi 1.0	d y S y n dZ e l i j d i
hikayesine 1.0	h i c a: j e s i n e
nesine 1.0	n e s i n e
yasına 1.0	j a s 1 n a
ısınmak 1.0	1 s 1 n m a k
sokulmasına 1.0	s o k u 5 m a s 1 n a
kafiydi 1.0	c a: f i: j d i
ovasının 1.0	o v a s 1 n 1 n
ufukları 1.0	u f u k 5 a r 1
sapsarıdır 1.0	s a p s a r 1 d 1 r
obanızın 1.0	o b a n 1 z 1 n
yiğitlerini 1.0	j i G i t l e r i n i
yiğitlerini 1.0	j i: t l e r i n i
bilip 1.0	b i l i p
koşarım 1.0	k o S a r 1 m
kefenin 1.0	c e f e n i n
cebi 1.0	dZ e b i
kaçıyorsun 1.0	k a tS 1 j o r s u n
kaçıyorsun 1.0	k a tS 1 j o s u n
cin 1.0	dZ i n
tutana 1.0	t u t a n a
muska 1.0	m u s k a
olasın 1.0	o 5 a s 1 n
tiksinmesinde 1.0	t i k s i n m e s i n d e
suratının 1.0	s u r a t 1 n 1 n
fedakarlıktan 1.0	f e d a: c a r 5 1 k t a n
kaçınmıyorum 1.0	k a tS 1 n m 1 j o r u m
gördüğümden 1.0	gj 2 r d y G y m d e n
gördüğümden 1.0	gj 2 r d y: m d e n
müsterih 1.0	m y s t e r i h
cenaze 1.0	dZ e n a: z e
dönüşünden 1.0	d 2 n y S y n d e n
soyunmayarak 1.0	s o j u n m a j a r a k
sanabilirdi 1.0	s a n a b i l i r d i
başlayınca 1.0	b a S 5 a j 1 n dZ a
soba 1.0	s o b a
oylamayı 1.0	o j 5 a m a j 1
boykot 1.0	b o j k o t
pekinde 1.0	p e c i n d e
karışıklığa 1.0	k a r 1 S 1 k 5 1 a
karışıklığa 1.0	k a r 1 S 1 k 5 1 G a
misyonu 1.0	m i s j o n u
baskı 1.0	b a s k 1
kuşağım 1.0	k u S a 1 m
kuşağım 1.0	k u S a G 1 m
kuşağım 1.0	k u S a: m
kuşak 1.0	k u S a k
ciddiler 1.0	dZ i d d i: l e r
yön 1.0	j 2 n
rakamın 1.0	r a k a m 1 n
oluşturuyor 1.0	o 5 u S t u r u j o
oluşturuyor 1.0	o 5 u S t u r u j o r
turnuva 1.0	t u r n u v a
kotooshu 1.0	k o t o S u
unvanı 1.0	u n v a n 1
üçbirlik 1.0	y tS b i r 5 i k
merkezin 1.0	m e r c e z i n
açılması 1.0	a tS 1 5 m a s 1
planlanıyor 1.0	p i 5 a n 5 a n 1 j o
planlanıyor 1.0	p i 5 a n 5 a n 1 j o r
planlanıyor 1.0	p i 5 a n n a n 1 j o
planlanıyor 1.0	p i 5 a n n a n 1 j o r
olasılıkla 1.0	o 5 a s 1 5 1 k 5 a
planlıyor 1.0	p i 5 a n 5 1 j o
planlıyor 1.0	p i 5 a n 5 1 j o r
planlıyor 1.0	p i 5 a n n 1 j o
planlıyor 1.0	p i 5 a n n 1 j o r
uygulamak 1.0	u j gj u 5 a m a k
aklarını 1.0	a k 5 a r 1 n 1
karıştırın 1.0	k a r 1 S t 1 r 1 n
tyetmiş 1.0	t i j e t m i S
tankı 1.0	t a n k 1
dinkin 1.0	d i n k i n
ölümünün 1.0	2 l y m y n y n
etkisi 1.0	e t c i s i
bilgiler 1.0	b i l gj i l e r
durumdan 1.0	d u r u m d a n
aktör 1.0	a k t 2 r
kanserden 1.0	k a n s e r d e n
haberse 1.0	h a b e r s e
finansmanı 1.0	f i n a n s m a n 1
brkiçe 1.0	b 1 r i k i tS e
bırakıldı 1.0	b 1 r a k 1 5 d 1
çiftçiler 1.0	tS i f tS i l e r
çiftçiler 1.0	tS i f t tS i l e r
başta 1.0	b a S t a
iyimserdiler 1.0	i j i m s e r d i l e r
seçimleri 1.0	s e tS i m l e r i
eğitime 1.0	e G i t i m e
eğitime 1.0	e j i t i m e
eğitime 1.0	i: t i m e
yapılmalı 1.0	j a p 1 5 m a 5 1
asgari 1.0	a s gj a r i:
vizeleri 1.0	v i z e l e r i
ödemiyorlar 1.0	2 d e m i j o 5 a r
ödemiyorlar 1.0	2 d e m i j o r 5 a r
eziyet 1.0	e z i j e t
süreç 1.0	s y r e tS
kelmendinin 1.0	k e 5 m e n d i n i n
görüşe 1.0	gj 2 r y S e
sonuçtan 1.0	s o n u tS t a n
memnuniyeti 1.0	m e m n u n i j e t i
gizlemedi 1.0	gj i z l e m e d i
felsefemiz 1.0	f e l s e f e m i z
skoriç 1.0	s i k o r i tS
görevinden 1.0	gj 2 r e v i n d e n
uzaklaştırılmıştı 1.0	u z a k 5 a S t 1 r 1 5 m 1 S t 1
saraybosnadan 1.0	s a r a j b o s n a d a n
karadağa 1.0	k a r a d a G a
plamadeala 1.0	p 1 5 a m a d e a 5 a
bloğa 1.0	b 1 5 o G a
bloğa 1.0	b i 5 o p a
üyeler 1.0	y j e l e r
köprüler 1.0	c 2 p r y l e r
kaleler 1.0	k a l e l e r
taslak 1.0	t a s 5 a k
onay 1.0	o n a j
parlamentoya 1.0	p a r 5 a m e n t o j a
gönderilecek 1.0	gj 2 n d e r i l e dZ e c
karadağ 1.0	k a r a d a G
itirazlar 1.0	i t i r a z 5 a r
başarısından 1.0	b a S a r 1 s 1 n d a n
kaymaları 1.0	k a j m a 5 a r 1
yaşanıyor 1.0	j a S a n 1 j o
yaşanıyor 1.0	j a S a n 1 j o r
engebeli 1.0	e N gj e b e l i
artabilir 1.0	a r t a b i l i r
suçluları 1.0	s u tS 5 u 5 a r 1
yarışmayı 1.0	j a r 1 S m a j 1
çinli 1.0	tS i n 5 i
tebrikleri 1.0	t e b r i c l e r i
politikamız 1.0	p o l i t i c a m 1 z
hırsızlar 1.0	h 1 r s 1 z 5 a r
fidye 1.0	f i d j e
adaylık 1.0	a d a j 5 1 k
vekil 1.0	v e c i l
etkiliyor 1.0	e t c i l i j o
etkiliyor 1.0	e t c i l i j o r
heveslilik 1.0	h e v e s l i l i c
dünyasında 1.0	d y N j a: s 1 n d a
reformlar 1.0	r e f o r m 5 a r
türkiyedeki 1.0	t y r k i j e d e k i
bölünmeden 1.0	b 2 l y n m e d e n
kurtulabilir 1.0	k u r t u 5 a b i l i r
doboyda 1.0	d o b o j d a
yönetim 1.0	j 2 n e t i m
seviyesinde 1.0	s e v i j e s i n d e
dokunulmazlığı 1.0	d o k u n u 5 m a z 5 1:
dokunulmazlığı 1.0	d o k u n u 5 m a z 5 1 G 1
saattir 1.0	s a a t t i r
tanıklar 1.0	t a n 1 k 5 a r
herşeyi 1.0	h e r S e j i
barışçıl 1.0	b a r 1 S tS 1 5
çözerdi 1.0	tS 2 z e r d i
birliğiymişiz 1.0	b i r 5 i G i j m i S i z
davranıyorlar 1.0	d a v r a n 1 j o 5 a r
davranıyorlar 1.0	d a v r a n 1 j o r 5 a r
hükümete 1.0	h y k y m e t e
koyabiliyorlar 1.0	k o j a b i l i j o 5 a r
koyabiliyorlar 1.0	k o j a b i l i j o r 5 a r
olayların 1.0	o 5 a j 5 a r 1 n
failleri 1.0	f a: i l l e r i
bulunamadı 1.0	b u 5 u n a m a d 1
sağlığı 1.0	s a: 5 1:
sağlığı 1.0	s a G 5 1 G 1
yeriz 1.0	j e r i z
içmemelisin 1.0	i tS m e m e l i s i n
cahillikle 1.0	dZ a: h i l l i c l e
süleymanın 1.0	s y 5 e j m a n 1 n
mülkü 1.0	m y l c y
köyümüze 1.0	c 2 j y m y z e
sığmazsa 1.0	s 1 G m a z s a
sığmazsa 1.0	s 1: m a z s a
obana 1.0	o b a n a
avucundaki 1.0	a v u dZ u n d a c i
banknotun 1.0	b a n k n o t u n
düştüğünü 1.0	d y S t y G y n y
düştüğünü 1.0	d y S t y: n y
köyüne 1.0	c 2 j y n e
oynaya 1.0	o j n a j a
çıkaracağız 1.0	tS 1 k a r a dZ a 1 z
çıkaracağız 1.0	tS 1 k a r a dZ a G 1 z
çıkaracağız 1.0	tS 1 k a r a dZ a: z
yiyip 1.0	j i j i p
bahsettiği 1.0	b a h s e t t i:
bahsettiği 1.0	b a h s e t t i G i
duyup 1.0	d u j u p
duymadığına 1.0	d u j m a d 1 G 1 n a
duymadığına 1.0	d u j m a d 1: n a
acımayacak 1.0	a dZ 1 m a j a dZ a k
acıtacak 1.0	a dZ 1 t a dZ a k
soğumakta 1.0	s o G u m a k t a
soğumakta 1.0	s o: u m a k t a
motörden 1.0	m o t 2 r d e n
böceklerin 1.0	b 2 dZ e c l e r i n
olamazdım 1.0	o 5 a m a z d 1 m
karıştırmasın 1.0	k a r 1 S t 1 r m a s 1 n
yaramazmış 1.0	j a r a m a z m 1 S
sinemdeki 1.0	s i: n e m d e c i
yareleri 1.0	j a r e 5 e r i
burnum 1.0	b u r n u m
kanamaya 1.0	k a n a m a j a
köşktekiler 1.0	c 2 S k t e c i l e r
doyuracak 1.0	d o j u r a dZ a k
takat 1.0	t a k a t
esaslı 1.0	e s a s 5 1
doluya 1.0	d o 5 u j a
görmüyoruz 1.0	gj 2 r m y j o r u z
bilmediler 1.0	b i l m e d i l e r
fiyatına 1.0	f i j a t 1 n a
konferansı 1.0	k o n f e r a n s 1
olanların 1.0	o 5 a n 5 a r 1 n
olanların 1.0	o 5 a n n a r 1 n
alınmadı 1.0	a 5 1 n m a d 1
üşüyorsun 1.0	y S y j o r s u n
üşüyorsun 1.0	y S y j o s u n
liradır 1.0	l i r a d 1 r
civar 1.0	dZ i v a r
burasını 1.0	b u r a s 1 n 1
canlandırırdı 1.0	dZ a n 5 a n d 1 r 1 r d 1
canlandırırdı 1.0	dZ a n n a n d 1 r 1 r d 1
değiştirdiğini 1.0	d e G i S t i r d i G i n i
değiştirdiğini 1.0	d e j i S t i r d i: n i
değiştirdiğini 1.0	d i: S t i r d i: n i
çıkarmıyordum 1.0	tS 1 k a r m 1 j o d u m
çıkarmıyordum 1.0	tS 1 k a r m 1 j o r d u m
sürmek 1.0	s y r m e c
herifi 1.0	h e r i f i
parkta 1.0	p a r k t a
şekerli 1.0	S e c e r l i
mukabilinde 1.0	m u k a b i l i n d e
hizmetkarlık 1.0	h i z m e t k a r 5 1 k
omuzumdan 1.0	o m u z u m d a n
yaslandı 1.0	j a s 5 a n d 1
başlattın 1.0	b a S 5 a t t 1 n
kızgınlık 1.0	k 1 z g 1 n 5 1 k
kızgınlık 1.0	k 1 z g 1 n n 1 k
takılıp 1.0	t a k 1 5 1 p
sormalısın 1.0	s o r m a 5 1 s 1 n
kötülerini 1.0	c 2 t y l e r i n i
duygusundan 1.0	d u j gj u s u n d a n
kurtulacak 1.0	k u r t u 5 a dZ a k
aklımdasın 1.0	a k 5 1 m d a s 1 n
nerdedir 1.0	n e r d e d i r
kimlere 1.0	c i m l e r e
döküyordur 1.0	d 2 c y j o d u r
döküyordur 1.0	d 2 c y j o r d u r
gelemedi 1.0	gj e l e m e d i
soramıyor 1.0	s o r a m 1 j o
soramıyor 1.0	s o r a m 1 j o r
kekeliyordum 1.0	c e c e l i j o d u m
kekeliyordum 1.0	c e c e l i j o r d u m
böyleleri 1.0	b 2 j l e l e r i
melül 1.0	m e l y l
sazına 1.0	s a z 1 n a
dokunur 1.0	d o k u n u r
müşteriye 1.0	m y S t e r i j e
istersem 1.0	i s t e r s e m
haftalarca 1.0	h a f t a 5 a r dZ a
sayarken 1.0	s a j a r c e n
kasapla 1.0	k a s a p 5 a
ahbaplığa 1.0	a h b a p 5 1 a
ahbaplığa 1.0	a h b a p 5 1 G a
hakkındaydı 1.0	h a k k 1 n d a j d 1
beyobasını 1.0	b e j o b a s 1 n 1
evleneceğim 1.0	e v l e n e dZ e G i m
evleneceğim 1.0	e v l e n e dZ e j i m
